,name,category,sim
278,육회바른연어 하남신장점,식당,tensor([[0.1812]])
279,별난아재맥주 하남미사점,호프,tensor([[0.2664]])
280,플로피(floffee),식당 아님,tensor([[0.0472]])
281,라홍방마라탕 감일점,중국집,tensor([[0.2815]])
282,타타스 하남미사점,카페,tensor([[0.2929]])
283,릴리 시나몬,양식,tensor([[0.0963]])
284,화포식당 미사강변점,고기,tensor([[0.4156]])
285,뱃살도둑 감일점,야채,tensor([[0.3034]])
286,카페 루가노,카페,tensor([[0.2837]])
287,삼형제김밥 미사점,분식,tensor([[0.2176]])
288,도미노피자 하남감일점,피자,tensor([[0.3129]])
289,코우게츠,일식집,tensor([[0.2506]])
290,우리동네밥집 미사본점,분식,tensor([[0.2281]])
291,효하우스 골목길포차,식당,tensor([[0.2827]])
292,홍그린 로얄 스페셜,양식,tensor([[0.0880]])
293,사계진미 하남점,고기,tensor([[0.3072]])
294,몽땅만두 미사역점,분식,tensor([[0.2422]])
295,육이구낙곱새 하남미사점,한식당,tensor([[0.3276]])
296,메이창,중국집,tensor([[0.3459]])
297,돈까스짱 미사점,돈가스,tensor([[0.1805]])
298,비비큐 위례스타필드점,치킨,tensor([[0.3393]])
299,신사꽃등심 미사직영점,고기,tensor([[0.2785]])
300,팔당돼지수제갈비,한식당,tensor([[0.3613]])
301,아빠찜 미사역점,해물,tensor([[0.1520]])
302,취향마라마라탕 하남미사점,중국집,tensor([[0.2385]])
303,청년부찌냉삼,한식당,tensor([[0.3230]])
304,고돼지 하남점,고기,tensor([[0.2760]])
305,청년감자탕순대국 하남미사점,식당,tensor([[0.2387]])
306,냐항바바바 미사역점,아시안 음식,tensor([[0.3679]])
307,클린7080라이브,아시안 음식,0.0
308,치킨갱스터 미사점,치킨,tensor([[0.3100]])
309,봉자 막창 하남미사점,치킨,0.0
310,12인치 사운드바,주류,tensor([[0.1283]])
311,설하네 디저트,카페,tensor([[0.3119]])
312,저돌 쪽 갈비찜,한식당,tensor([[0.2617]])
313,탑탑 다이너(TopTop Diner),햄버거,tensor([[0.2985]])
314,마라입구 미사점,햄버거,0.0
315,김준호의 대단한갈비 하남미사로데오점,햄버거,0.0
316,맘스터치 하남미사점,햄버거,0.0
317,키토분식 미사역점,분식,tensor([[0.1985]])
318,파슷타애요 하남점,양식,tensor([[0.1575]])
319,올라잇(holaeat),식당,tensor([[0.2412]])
320,잭슨피자 하남미사점,피자,tensor([[0.3840]])
321,하남돼지집 미사숲공원점,고기,tensor([[0.3137]])
322,국밥쟁이(풍산점),한식당,tensor([[0.2793]])
323,삼촌네 조개찜,해물,tensor([[0.2063]])
324,솔라멘,해물,0.0
325,리스닝커피로스터스,카페,tensor([[0.3104]])
326,미사대패,고기,tensor([[0.3163]])
327,파스타어때 하남미사본점,양식,tensor([[0.1830]])
328,만선호프 하남미사점,호프,tensor([[0.2590]])
329,완판도 미사점,고기,tensor([[0.2777]])
330,신사동인동 하남점,한식당,tensor([[0.2944]])
331,화복칼국수,분식,tensor([[0.1535]])
332,찐한삼촌,카페,tensor([[0.2388]])
333,카페키노(KAFE KINO),카페,tensor([[0.3134]])
334,스테이미사 브런치&레스토랑,까페,tensor([[0.1219]])
335,마마쿡 미사점,식당,tensor([[0.2591]])
336,일동실비 하남덕풍점,식당,tensor([[0.2814]])
337,스와(soir),호프,tensor([[0.3081]])
338,꾸브라꼬 숯불두마리치킨 위례점,치킨,tensor([[0.2784]])
339,원조 양평해장국 미사점,해장국,tensor([[0.3075]])
340,동동밤,한식당,tensor([[0.3438]])
341,미분당 하남미사점,아시안 음식,tensor([[0.3434]])
342,노랑통닭 하남감일점,치킨,tensor([[0.3383]])
343,미려돈,고기,tensor([[0.3974]])
344,꾸브라꼬 숯불두마리치킨 감일점,치킨,tensor([[0.3269]])
345,프랭크버거 하남점,햄버거,tensor([[0.3017]])
346,홍윤곰탕,한식당,tensor([[0.3042]])
347,샤오바오 미사점,중국집,tensor([[0.2980]])
348,춘옥이네,카페,tensor([[0.1954]])
349,빙츄르 미사호수공원점,디저트,tensor([[0.3225]])
350,생활맥주 하남미사점,호프,tensor([[0.2923]])
351,파티인테이블,식당 아님,tensor([[0.1831]])
352,에바돈가츠 감일점,돈가스,tensor([[0.1891]])
353,목삼고집,고기,tensor([[0.2972]])
354,가마솥순대국밥 미사중앙점,식당,tensor([[0.2529]])
355,365 한쌈,아시안 음식,tensor([[0.2181]])
356,철뚝집 하남미사점,고기,tensor([[0.3783]])
357,인생아구찜 하남점,해물,tensor([[0.1762]])
358,스시코호시 미사,일식당,tensor([[0.2387]])
359,헤라스 빈야드,주류,tensor([[0.2134]])
360,백채김치찌개 미사역점,한식당,tensor([[0.3570]])
361,후라토식당 하남미사점,일식당,tensor([[0.3190]])
362,아담스 꼬마김밥 위례점,분식,tensor([[0.2006]])
363,미태리 하남감일점,양식,tensor([[0.1121]])
364,라홍방마라탕 미사역점,중국집,tensor([[0.2342]])
365,로스트피그 미사,고기,tensor([[0.2994]])
366,그린콕(Green Cok),야채,tensor([[0.3153]])
367,타붕,카페,tensor([[0.2582]])
368,매일의 식탁,식당,tensor([[0.2518]])
369,청년다방 감일점,분식,tensor([[0.2118]])
370,봉명동내커피 하남미사점,카페,tensor([[0.2802]])
371,빅빅버거 하남미사점,햄버거,tensor([[0.2925]])
372,띤띤 드 타마린드 하남스타필드점,아시안 음식,tensor([[0.2584]])
373,오한수 우육면가 하남미사점,중국집,tensor([[0.2587]])
374,자연미당 추어탕,한식당,tensor([[0.3465]])
375,감탄밥상,식당,tensor([[0.2509]])
376,생활맥주 위례점,호프,tensor([[0.2624]])
377,우리 할매 떡볶이 하남감일점,분식,tensor([[0.2213]])
378,버거 스테이지 하남미사점,햄버거,tensor([[0.3035]])
379,77년생 곱도리 전골식당 미사직영점,한식당,tensor([[0.3438]])
380,일일양 미사직영점,고기,tensor([[0.3311]])
381,온달집 미사역점,고기,tensor([[0.2304]])
382,솔솥 미사강변점,한식당,tensor([[0.3454]])
383,카츠몬,돈가스,tensor([[0.1763]])
384,맘스터치 피자앤치킨 하남시청역점,피자,tensor([[0.6451]])
385,철길부산집 하남미사점,식당,tensor([[0.2849]])
386,토리아에즈 미사역점,일식집,tensor([[0.2702]])
387,페이브 베이커리 미사역점,카페,tensor([[0.3177]])
388,미사냉삼집,고기,tensor([[0.2999]])
389,여우애김밥 하남U1센터점,분식,tensor([[0.2515]])
390,아담스꼬마김밥 미사점,분식,tensor([[0.2049]])
391,신계닭갈비 미사점,고기,tensor([[0.2712]])
392,브리즈번 버거앤비어 하남미사역점,햄버거,tensor([[0.2708]])
393,육회바른연어 미사점,식당,tensor([[0.1925]])
394,게장맨,해물,tensor([[0.2313]])
395,소코아 하남미사점,식당,tensor([[0.2049]])
396,미사전,식당,0.0
397,동래정 하남미사점,고기,tensor([[0.3019]])
398,60계치킨 경기하남감일지구점,치킨,tensor([[0.3548]])
399,온락도시락,한식당,tensor([[0.3780]])
400,신대포 불갈비 하남점,고기,tensor([[0.3676]])
401,전설낙곱새 위례송파점,한식당,tensor([[0.3213]])
402,현야,식당,tensor([[0.2935]])
403,대한 냉면 미사점,한식당,tensor([[0.2343]])
404,진대감 하남미사점,고기,tensor([[0.2609]])
405,비.마이 가든(B. my Garden),카페,tensor([[0.2281]])
406,회장님댁 하남신장점,식당,tensor([[0.2696]])
407,벤탄빌라 미사점,아시안 음식,tensor([[0.2983]])
408,맘스터치 미사강변대로점,햄버거,tensor([[0.3532]])
409,팔각도 하남미사역점,고기,tensor([[0.2836]])
410,(주)바운스 슈퍼파크 하남센터,식당 아님,tensor([[0.0722]])
411,조선육회 하남점,고기,tensor([[0.3489]])
412,저돌 쪽 갈비찜,한식당,tensor([[0.2617]])
413,째깍섬 키즈클래스 하남,카페,tensor([[0.1489]])
414,이가원(한식뷔페),한식당,tensor([[0.2818]])
415,빽다방 미사센트럴자이점,카페,tensor([[0.2660]])
416,비비큐 풍산중앙점,치킨,tensor([[0.3651]])
417,제주은희네해장국 하남미사점,해장국,tensor([[0.4055]])
418,김가네 미사스카이폴리스점,분식,tensor([[0.1954]])
419,타이반쩜 하남미사점,아시안 음식,tensor([[0.3009]])
420,모모타코야끼 하남점,일식당,tensor([[0.2891]])
421,고피자 하남미사점,피자,tensor([[0.3855]])
422,탐라포차 미사강변점,식당,tensor([[0.2195]])
423,다루마 고로케,일식당,tensor([[0.2950]])
424,소플러스서하남점,고기,tensor([[0.2959]])
425,가마치통닭 덕풍시장점,치킨,tensor([[0.3794]])
426,후우스,카페,tensor([[0.2955]])
427,한채당 베이커리,카페,tensor([[0.3350]])
428,굽네치킨 감일지구점,치킨,tensor([[0.3784]])
429,초가네장어구이 하남점,해물,tensor([[0.1886]])
430,세광양대창 하남미사점,고기,tensor([[0.2813]])
431,드로게리아,카페,tensor([[0.2648]])
432,그린호미(Green Homee),카페,tensor([[0.2925]])
433,안나스낵 미사역점,주류,tensor([[0.2470]])
434,야키토리 미사(Yakitori misa),일식집,tensor([[0.2471]])
435,푸드박스 송파점,식당 아님,tensor([[0.2361]])
