,name,position,total_distance,total_time
220,뉴욕버거 하남(SKV1)점,경기 하남시 미사강변한강로 155 111호,212,156
221,오늘은 새우회 하남점,경기 하남시 미사강변중앙로 212 205호,1489,1265
222,라운지 비 LOUNGE B,서울 서초구 효령로 89 서초훼미리하우스 상가 B01호,23558,18806
223,파이 앤 브레드(Pie & Bread),경기 하남시 미사강변한강로 270-1,1335,1082
224,카라핑 카페,경기 하남시 미사대로 472 SR광장프라자 1층,1505,1223
225,야꼬닭 하남점,경기 하남시 미사강변서로 16 지하 1층 RB156호,3427,2738
226,이가돈 매운갈비찜,경기 하남시 신평로55번길 22 1층,4737,3738
227,포시애틀 하남풍산점,경기 하남시 하남대로 947 하남테크노밸리 U1센터 1층 D-114a호,4059,3364
228,육칠이 위례점,경기 하남시 위례대로 190 1층 150호,13906,10912
229,치킨봇,경기 하남시 미사강변대로226번길 9 1층 109호,1557,1228
230,왔따쪽갈비(하남미사점),경기 하남시 미사강변대로34번안길 19 1층 104호 왔따쪽갈비 하남미사점,3039,2400
231,예술피자 하남점,경기 하남시 아리수로 570 1층 1007호,1212,1008
232,펫타리움 미사,경기 하남시 덕풍천서로 85 펫타리움 하남미사,3669,3007
233,파더스 베이글 하남미사점,경기 하남시 미사강변한강로 270-1 호반써밋상가 1층 201동 1-190호,1335,1082
234,마시쏘부대찌개 미사역직영점,경기 하남시 미사강변동로 100-1 1층 1051호,1499,1186
235,짱꼬집(하남미사점),경기 하남시 미사강변중앙로 160 미사리버파크 1층 101호,2076,1654
236,나은치킨,"인천 서구 원적로47번길 6 103동 상가(가좌동, 풍림아파트)",55327,44366
237,오쥬리 사랑채,"경기 하남시 미사강변중앙로 214 1층 101, 102, 103호",1482,1260
238,동대문 엽기떡볶이 하남 미사강변점,경기 하남시 미사강변대로 80 그린프라자 1층 106호,2742,2188
239,노모어피자 미사점,경기 하남시 미사강변동로84번길 20 1층 117호,1832,1454
240,미사원조곱창,"경기 하남시 미사강변중앙로 173 1층 113, 114호",1940,1557
241,포코포코 하남미사점,경기 하남시 미사강변대로34번길 90 메인프라자 1층 107호,2892,2324
242,프랭크버거 하남신장점,경기 하남시 하남대로 815 1층,4487,3609
243,요트(YOTE),경기 하남시 감일로88번길 28 .1층 요트,9764,7609
244,루꽐라,경기 하남시 위례학암로14번길 35 경서 타워 1차 2층 208호,12698,9877
245,풍산화우,"경기 하남시 미사강변중앙로 11 1층 108, 109, 110, 111호",3666,3053
246,오스테리아 렌조(OSTERIA RENZO),경기 하남시 미사강변북로30번안길 30 1층,1652,1382
247,바른곱창(감일점),경기 하남시 감일로88번길 26 101호,9797,7634
248,우리할매떡볶이 하남덕풍점,경기 하남시 덕풍남로 8 1층 101호,3757,2944
249,모모타코야끼 위례점,경기 하남시 위례대로6길 45-1 상가 1동 105호,13409,10385
250,차이황,경기 하남시 위례대로6길 20-2 301동 1층 112호,13128,10213
251,오닭꼬치 하남미사점,경기 하남시 미사강변대로226번안길 35 청담프라자 116호,1377,1197
252,쉐 울리엘(chez ulliel),경기 하남시 미사강변동로 100-1 1층 1109호,1499,1186
253,더 퍼(The per),경기 하남시 하남대로 687 1층 더퍼,5718,4665
254,우나기 현,경기 하남시 미사강변한강로 155 SKV1센터 근생 102호 우나기현,212,156
255,이뼈천,경기 하남시 아리수로 570 1층 1105호,1212,1008
256,깡우동 하남미사점,경기 하남시 아리수로 570 1층 1026호,1212,1008
257,두레통닭 하남감일점,경기 하남시 감일백제로180번길 30-1 근린생활동 지1층 110호,9619,7522
258,소요일 미사직영점,"경기 하남시 미사강변중앙로 200 1층 104호, 105호",1573,1269
259,망월전,경기 하남시 미사강변한강로136번길 9 1층,547,465
260,오늘은 라면125 애니벤,경기 하남시 덕풍동로 111-21 1층 104호,3233,2576
261,카츠키,경기 하남시 미사강변한강로354번길 24 102호,2026,1628
262,피자스톰 미사점,경기 하남시 미사강변남로 125 미사역마이움푸르지오 102동 125호,1856,1470
263,오롯한상,"경기 하남시 미사대로 520 1층 DC01-010, DC01-011,DC01-012호( 덕풍동, 현대지식산업센터 한강미사2차 (25BL))",1967,1638
264,흑삼족,경기 하남시 미사강변북로30번길 118 1층,1640,1345
265,육칠이 미사점,경기 하남시 미사강변동로 125 A동 1층 S-106호,1351,1108
266,기영이 숯불두마리치킨 하남미사점,경기 하남시 미사강변대로 84 1층 112호,2699,2157
267,스노우플렉스(SNOW FLEX),경기 하남시 덕풍천서로 77-9 스노우플렉스,3791,3099
268,패티바이번 위례점,경기 하남시 위례대로 200 지1층 B214호,13812,10847
269,꿉돈가,경기 하남시 덕풍북로 255,3579,2817
270,날쌘카페 하남미사점,경기 하남시 미사강변중앙로111번안길 11 1층,2541,2049
271,세화갈비 미사점,"경기 하남시 미사강변한강로 270-1 메인광장 1층 1-215, 216호",1335,1082
272,슈슈브런치 하남감일점,"경기 하남시 신우실로63번길 11 104, 105, 106호",9803,7629
273,온담순대국 미사스카이폴리스점,경기 하남시 미사강변한강로 135 나동 1층 0155호,490,358
274,신세대맥주 미사,경기 하남시 아리수로 570 1층 1024호,1212,1008
275,조인 더 클럽,경기 하남시 아리수로 570 1층 1079호 조인더클럽,1212,1008
276,와하카,경기 하남시 미사강변중앙로111번안길 32 1층 와하카,2395,1940
277,참토스트 하남미사점,경기 하남시 미사강변한강로 135 1층 가 133호,490,358
278,고집센 만두전골 두루치기,"경기 하남시 미사강변한강로 135 다동 2층 202, 203호 공원쪽",490,358
279,무국적식탁 하남점,경기 하남시 조정대로 150,2921,2404
280,고기싸롱 미사신도시점,경기 하남시 미사강변중앙로 214 1층 105호~108 호,1482,1260
281,투다리 풍산점,"경기 하남시 덕풍동로 111-10 제에이 109,110호",3189,2542
282,에헴 양식당,"경기 하남시 미사강변중앙로 217 2층 205호, B205호",1495,1240
283,밀회관 하남미사역점,"경기 하남시 미사강변한강로 270-1 201동 1층 211,212호",1335,1082
284,소반짓고,경기 하남시 미사강변동로 95 1층 1074호,1690,1360
285,마라홀릭 마라탕 감일점,경기 하남시 감일백제로180번길 17 2층 212호,9638,7518
286,푸드트럭스쿨,경기 하남시 미사강변동로 85 1층 137호.국민은행 현금인출기옆,1759,1410
287,꽈배기와 동그리,경기 하남시 하남대로783번길 28,4716,3783
288,길동우동 하남감일점,경기 하남시 감일백제로180번길 17 120호,9638,7518
289,서울떡갈비&우이락 신세계스타필드하남점,경기 하남시 미사대로 750 지하1층,4661,3740
290,창희커피,경기 하남시 초이로160번길 25 . 1층,5135,4039
291,마라탕에 빠진날,경기 하남시 신장로 132 2층 마라탕에 빠진날,4756,3741
292,사모님 토스트,경기 하남시 미사강변동로 100-1 1층 1043호,1499,1186
293,퇴촌중앙갈비 하남점,경기 하남시 신장1로 28 1층,4946,4003
294,조개호,경기 하남시 미사강변중앙로 189 에코브리지2 116호,1787,1448
295,자담치킨 미사중앙점,경기 하남시 미사강변북로 32,1331,1094
296,봉맥,경기 하남시 미사강변북로30번길 41,1559,1257
297,바티토,경기 하남시 미사대로 410 상가 218호 바티토,954,784
298,소코아 하남감일점,경기 하남시 신우실로 67 2층 201호,9761,7625
299,스트릿1988 하남감일점,경기 하남시 감일백제로180번길 17 퀸즈에비뉴 110호,9638,7518
300,스파게티스토리 스카이폴리스점,경기 하남시 미사강변한강로 135 나동 1층 133호,490,358
301,아라치 하남미사점,경기 하남시 미사강변중앙로 181 1층,1869,1507
302,호미스피자 미사점,경기 하남시 미사강변동로 95 1044호,1690,1360
303,로우프레스(lowpress),경기 하남시 미사강변한강로 270-1 201동 1층 1-158호,1335,1082
